Folder,Depth,d,E,v,phi,psi,c,sv,sh,Delft_inf,Delft_sug,Exists,yield_angle,yield_stress,yield_strain
Disp_1466,37,1898.8,45378600,0.27564,35.2201784317769,13.4483,5000.00331290008,689.207436,291.727680389392,4385.59213747691,4356.99234664871,1,NaN,Inf,Inf
Disp_1467,13,2113.53,48108200,0.326433,25.5609708484061,18.8335,5000.00057084116,269.5384809,153.240353566912,1804.79846028601,1597.69604621448,1,60,1987.98538593262,0.813746273517609
Disp_1468,50,1788.99,98422000,0.32281,26.8979099903854,18.7238,4999.99878313269,877.499595,480.5168666571,5272.87695118292,5239.3601193754,1,NaN,Inf,Inf
Disp_1469,41,1627.06,36759200,0.396579,41.9414098069795,18.9538,5000.00704135635,654.4198026,217.025027856588,4286.01853950889,4269.14167321472,1,-50,1388.80082189631,0.115840002894402
Disp_147,38,2398.92,89870000,0.327214,41.9043654328382,19.1627,5000.00695836628,894.2693976,296.996468262039,7535.14213261076,7470.51677300687,1,NaN,Inf,Inf
Disp_1470,31,1723.88,90346400,0.27755,40.8291027322736,12.8111,4999.99688889757,524.2491468,181.492419423789,5450.73728306628,5328.20809766525,0,NaN,Inf,Inf
Disp_1471,24,1693.8,88184100,0.326416,33.0453268375857,14.8882,4999.99819287699,398.788272,181.328094534195,3672.85292143597,3501.12387637737,1,0,1801.38734765803,0.0940923765301704
Disp_1472,15,1811.19,60617300,0.385924,42.5316213541251,19.7557,5000.00868847755,266.5166085,86.3521791934292,3126.88459060088,2817.23939497976,1,NaN,Inf,Inf
Disp_1473,40,1886.67,45863400,0.26834,32.0886581816972,18.8325,4999.99788942276,740.329308,347.043518541408,4300.00634228114,4276.59489296327,0,NaN,Inf,Inf
Disp_1474,31,2064.74,93491100,0.311505,40.1232110603212,18.3998,5000.00472642386,627.9080814,223.263107854912,5999.95413509422,5884.96136573834,0,NaN,Inf,Inf
Disp_1475,41,1758.2,49327600,0.363586,20.2411341576654,14.3147,5000.00159331114,707.165622,462.506203026137,2904.20556303602,2886.44924167127,1,NaN,Inf,Inf
Disp_1476,25,1902.01,44016300,0.275974,44.6415943311676,13.8766,5000.00483179388,466.4679525,138.695024093255,4097.07039742916,4021.0235800148,1,45,726.857982723545,0.0321044921875
Disp_1477,16,2195.77,45012600,0.275957,23.1027016446071,16.7634,4999.99858368337,344.6480592,209.414885495755,1927.78843480844,1799.67958217546,1,60,2950.41900966232,1.51403295993805
Disp_1478,25,2179.58,44698800,0.356122,44.12928016374,12.0506,5000.00514399088,534.541995,162.351258523044,4316.60027747059,4249.12769236538,1,45,803.529682644124,0.0321044921875
Disp_1479,46,1748.37,94038000,0.307199,24.0025056807396,14.4689,5000.00261881342,788.9694462,468.035141944579,4376.86504884893,4340.63904379227,1,NaN,Inf,Inf
Disp_148,28,1930.29,30707200,0.253962,44.3799088909832,14.5173,4999.99978042901,530.2120572,159.374977101956,3816.57911294486,3780.62943306516,1,40,916.403129673459,0.0635174885392189
Disp_1480,30,1935.98,43876500,0.287253,37.4396744018407,12.6821,4999.99995612359,569.758914,223.387778588007,4018.29012474376,3973.41172984547,1,NaN,Inf,Inf
Disp_1481,42,1674.05,42393200,0.292734,40.5914815756595,17.6251,5000.00119292401,689.742081,240.953584149224,4720.84045475847,4699.69796504094,1,NaN,Inf,Inf
Disp_1482,12,2377.63,37654600,0.266242,37.7157379775634,14.3901,4999.99388209067,279.8946036,108.670661246988,2484.04655027676,2229.65988592162,1,0,2231.57207202086,0.27529564499855
Disp_1483,8,1945.97,94722200,0.382167,21.130761158564,15.8682,4999.99954718257,152.7197256,97.6646243944785,1200.19015451913,741.895349330158,1,90,632.074941431285,0.101055018603802
Disp_1484,17,1757.77,70514000,0.30648,33.9968222128358,16.9964,4999.9963229272,293.1433029,129.233127429839,2888.77169737688,2621.86240364631,1,-20,1847.67329320959,0.186502352356911
Disp_1485,37,1967.98,55528000,0.360988,40.4265428385481,14.407,4999.99739339642,714.3177006,251.102228576851,5239.56129831868,5203.34244588911,1,35,1345.70217177572,0.0582350753247738
