Folder,Depth,d,E,v,phi,psi,c,sv,sh,Delft_inf,Delft_sug,Exists,yield_angle,yield_stress,yield_strain,ID,maxs,Mw,Mc
Disp_767,17,2172.03,99283600,0.350405,44.5662546283933,18.8928,4999.99990659163,362.2294431,108.040882546988,4828.03601714338,4367.53737836225,1,90,803.588658680971,0.0321044921875,1131,2227.95510642545,63819140.2969053,33941256.5031595
Disp_768,49,2163.25,41133800,0.37167,38.8697455302765,17.0215,5000.0047482441,1039.8526425,387.291009412515,5682.10821375211,5670.53055431738,1,NaN,Inf,Inf,1132,4523.62146989385,27292790.3664277,14422603.7710688
Disp_769,8,2288.33,82327800,0.389025,44.4700194280272,14.9443,5000.00195363546,179.5881384,53.7801906912672,2940.6298311701,1870.09298125209,1,40,300.551474485,0.00751675758510828,1133,939.718569287645,51146082.6763235,24724881.4680526
Disp_77,20,2155.6,30637700,0.336868,26.8418225975919,13.3182,4999.99855564237,422.92872,231.96415641905,2219.29642426582,2165.53779273548,1,35,3001.85835772889,0.88776969909668,1134,3780.90015520727,23198323.2681151,5362237.7188543
Disp_770,46,1728.88,48371400,0.386845,30.1699822005534,18.4347,4999.99902431745,780.1743888,388.084427533837,4193.37433280484,4177.22578121733,1,NaN,Inf,Inf,1135,4446.95201713157,35284934.1234681,10611344.7736184
Disp_771,12,2263.18,93096900,0.310297,27.2803760998557,19.6952,4999.99941341963,266.4215496,144.308517903956,2358.49714347725,1869.98588717012,1,65,1747.43944685308,0.353118687868118,1136,6710.51673534963,67585072.544981,33525516.384205
Disp_772,28,1699.72,67915800,0.284175,43.3217302768162,17.4612,5000.00457626262,466.8790896,146.55599705189,4769.30038477174,4661.03982887895,1,-90,1034.33807033013,0.0690740570425987,1137,3101.66391380145,46591879.9839665,23728407.7097002
Disp_773,39,2038.94,33562500,0.382939,28.5890846349538,15.7794,5000.00122406563,780.0780546,406.791526830329,3578.00614849336,3564.45340511362,1,-5,4329.92995060423,0.600616753101349,1138,4672.69129189549,24720079.9025084,6121751.37208413
Disp_774,36,2232.68,78151000,0.278038,32.0558989225686,17.8278,4999.99691473011,788.4932688,370.003316947384,5371.50000411114,5314.71359060362,1,NaN,Inf,Inf,1139,6572.2778479886,60859781.6275662,28434210.122184
Disp_776,7,1801.43,34709700,0.348414,39.4639787486984,16.7215,4999.99760999674,123.7041981,45.078677896623,1504.56883538962,1010.18664916276,1,10,813.019247000547,0.101055018603802,1140,1124.6203914783,23880506.8307886,12530079.3406342
Disp_777,7,1834.2,83923500,0.314001,34.0396339704328,14.8187,4999.99570638172,125.954514,55.4494279262429,1822.24424277968,962.498343822737,1,0,673.164743204214,0.0397810637950897,1141,1321.81528987741,57314644.1670358,26378695.5397075
Disp_778,46,2176.77,52580400,0.299248,34.1837533675853,19.6971,5000.00621068217,982.2892302,430.391174917631,5624.66413895726,5605.38426652006,1,NaN,Inf,Inf,1142,8446.00186947854,40709413.9747156,19305117.0510163
Disp_779,21,1802.82,92458100,0.328528,36.2770799692065,17.7347,4999.99903438058,371.3989482,151.64563120949,3922.66970338237,3669.31297247784,1,0,1908.62108477585,0.0874146819114685,1143,2353.99511737987,64058524.1736096,33052627.921343
Disp_78,21,2105.68,72248500,0.393619,32.9421452538736,13.236,4999.99988070609,433.7911368,197.899028137302,3538.29025012861,3382.18087791307,1,10,1769.67309416208,0.0874146819114685,1144,1900.1714138133,50701820.0298077,25342352.3459103
Disp_780,46,2325.68,75479400,0.326528,21.3178273330518,14.0287,4999.99850908129,1049.4863568,667.954927422555,4545.04880333746,4521.77245011218,1,NaN,Inf,Inf,1145,9649.863184751,57578306.9149479,6858974.95934313
Disp_781,21,1660.49,50230700,0.349616,21.2227498983528,17.5465,4999.99731688769,342.0775449,218.247276175046,1801.23883749363,1722.03301161671,1,60,3143.48223260814,1.69979095458984,1146,6975.65528615961,37386850.472416,12279801.9477471
Disp_782,34,1926.21,97757500,0.269865,39.2755313478886,19.4742,4999.99830830532,642.4680834,235.753444888136,6151.21901353274,6046.67900572779,1,0,4390.94377977635,0.20703125,1147,4390.94377977635,67270834.3391764,33677247.7432269
Disp_783,19,2282.09,78194400,0.362783,34.569310790104,19.2169,4999.99933830482,425.3587551,184.009019667382,3792.91240374055,3571.57105166754,1,-5,2244.74962299961,0.131776615977287,1148,2895.81256558787,54789113.5110725,29262429.9910675
Disp_784,12,2333.25,76673100,0.268274,36.2244050429016,12.4129,4999.9993154238,274.67019,112.354023202833,3086.04383275042,2531.22987429141,1,0,1675.95798993612,0.0940923765301704,1149,2204.23815627191,56068236.1410532,26024968.1036971
Disp_785,18,1965.56,99082500,0.299845,43.0427671451301,17.9709,5000.00331774317,347.0785848,110.182154041399,4623.20011878964,4192.34772228032,1,NaN,Inf,Inf,1150,2690.72321676152,65664603.4819951,32972698.6053707
Disp_786,36,1954.93,37589800,0.376739,43.3764405137722,17.3329,4999.99150377433,690.4030788,216.242051324418,4589.63931895035,4566.86516447511,1,35,1373.61445266928,0.0874146819114685,1151,2692.16025215392,24862118.2735977,13835484.7553898
Disp_787,28,2297.78,84986600,0.257412,25.1302182552158,13.6489,4999.99616088464,631.1542104,363.117553988081,3836.42886711796,3740.83860605155,1,NaN,Inf,Inf,1152,6740.74320272521,67640876.6169154,24948443.7268267
Disp_788,47,2325.37,91007200,0.365514,31.0510054228748,18.0353,5000.00452699638,1072.1583459,519.138072012405,6580.67276707228,6547.21075567036,1,-5,5484.24419635939,0.300209075212479,1153,5840.55337316256,66937093.5789553,28941250.4576343
